catchment_id,pixel_count,area_km2,mean_slope,mean_flow_accum,max_flow_accum,drainage_density,region
C79,2100,1.89,89.41,38.38,2100.0,0.365,Uttarakhand
C80,1382,1.244,89.58,25.43,1382.0,0.024,Uttarakhand
C81,1312,1.181,89.29,30.73,1312.0,0.203,Uttarakhand
C82,1702,1.532,89.43,33.09,1702.0,0.333,Uttarakhand
C83,1601,1.441,88.36,34.05,1601.0,0.291,Uttarakhand
C84,1969,1.772,88.54,27.88,1969.0,0.203,Uttarakhand
C85,1449,1.304,87.84,29.14,1449.0,0.207,Uttarakhand
C86,1590,1.431,88.8,26.88,1590.0,0.147,Uttarakhand
C87,2065,1.858,88.19,46.02,2065.0,0.533,Uttarakhand
C88,1320,1.188,86.84,27.17,1320.0,0.152,Uttarakhand
C89,2216,1.994,87.99,37.16,2216.0,0.241,Uttarakhand
C90,2601,2.341,86.79,40.45,2601.0,0.436,Uttarakhand
C91,1277,1.149,87.62,35.62,1277.0,0.183,Uttarakhand
C92,1321,1.189,86.44,22.21,1321.0,0.025,Uttarakhand
C93,1250,1.125,85.8,27.7,1250.0,0.053,Uttarakhand
C94,1551,1.396,85.49,31.28,1551.0,0.236,Uttarakhand
C95,1553,1.398,83.33,32.74,1553.0,0.279,Uttarakhand
C96,1311,1.18,84.59,23.2,1311.0,0.025,Uttarakhand
C97,2479,2.231,83.05,42.68,2479.0,0.39,Uttarakhand
C98,3281,2.953,81.15,59.47,3281.0,0.62,Uttarakhand
C99,1868,1.681,79.65,26.03,1868.0,0.196,Uttarakhand
C100,1609,1.448,82.18,26.0,1609.0,0.104,Uttarakhand
C101,1380,1.242,80.8,27.71,1380.0,0.193,Uttarakhand
C102,1817,1.635,81.36,44.79,1817.0,0.385,Uttarakhand
C103,3971,3.574,80.51,47.08,3971.0,0.344,Uttarakhand
C104,1540,1.386,78.66,29.44,1540.0,0.195,Uttarakhand
C105,1214,1.093,78.25,26.05,1214.0,0.027,Uttarakhand
C106,1491,1.342,79.51,26.81,1491.0,0.134,Uttarakhand
C107,1810,1.629,77.59,32.61,1810.0,0.276,Uttarakhand
C108,1337,1.203,78.47,28.47,1337.0,0.249,Uttarakhand
C109,1357,1.221,76.4,36.76,1357.0,0.246,Uttarakhand
C110,1628,1.465,74.89,26.33,1628.0,0.102,Uttarakhand
C111,1229,1.106,75.3,23.57,1229.0,0.054,Uttarakhand
C112,1322,1.19,67.84,22.55,1322.0,0.025,Uttarakhand
C113,1668,1.501,69.81,31.82,1668.0,0.06,Uttarakhand
C114,1318,1.186,66.22,36.95,1318.0,0.253,Uttarakhand
C115,1482,1.334,70.7,22.85,1482.0,0.067,Uttarakhand
C116,1428,1.285,71.19,30.97,1428.0,0.093,Uttarakhand
C117,1230,1.107,68.22,26.82,1230.0,0.054,Uttarakhand
C118,2510,2.259,45.54,51.93,2510.0,0.531,Uttarakhand
C121,846,0.761,87.04,126.17,5311.0,0.788,Uttarakhand
A1,53031,47.728,6.93,240.45,53031.0,0.003,Assam
A2,71861,64.675,0.0,4664.36,71861.0,1.667,Assam
A3,170284,153.256,0.0,5081.66,170284.0,0.608,Assam
A4,78447,70.602,0.0,2070.71,78447.0,0.001,Assam
A5,106955,96.26,0.0,1792.41,106955.0,0.002,Assam
A6,107716,96.944,0.0,1805.1,107716.0,0.002,Assam
A7,90809,81.728,8.04,262.31,90809.0,0.008,Assam
A8,77669,69.902,0.0,4697.37,77669.0,1.528,Assam
