catchment_id,pixel_count,area_km2,mean_slope,mean_flow_accum,max_flow_accum,drainage_density,region
A301,60487,54.438,0.0,1853.02,60487.0,0.004,Assam
A302,73649,66.284,0.0,3199.62,73649.0,1.132,Assam
A303,71839,64.655,0.0,1698.13,71839.0,0.012,Assam
A304,54471,49.024,0.0,1664.31,54471.0,0.015,Assam
A305,125025,112.522,0.01,3635.57,125025.0,0.921,Assam
A306,75354,67.819,0.0,3998.67,75354.0,1.313,Assam
A307,120393,108.354,0.0,4059.83,120393.0,0.955,Assam
A308,54191,48.772,0.0,1679.35,54191.0,0.01,Assam
A309,108524,97.672,0.0,3857.82,108524.0,0.995,Assam
A310,79874,71.887,9.33,401.09,79874.0,0.088,Assam
A311,131235,118.112,6.11,634.61,131235.0,0.136,Assam
A312,196857,177.171,12.86,993.27,196857.0,0.237,Assam
A313,149644,134.68,0.8,500.53,149644.0,0.089,Assam
A314,84278,75.85,0.0,1674.04,84278.0,0.004,Assam
A315,133786,120.407,1.82,457.05,133786.0,0.039,Assam
A316,51171,46.054,11.4,339.04,51171.0,0.029,Assam
A317,153676,138.308,8.2,620.51,153676.0,0.106,Assam
A318,113192,101.873,9.99,420.23,113192.0,0.079,Assam
A319,140821,126.739,9.73,497.83,140821.0,0.112,Assam
A320,58653,52.788,0.0,1767.21,58653.0,0.086,Assam
A321,55199,49.679,0.0,1702.81,55199.0,0.077,Assam
A322,70911,63.82,2.15,408.08,70911.0,0.101,Assam
A323,133289,119.96,0.0,4528.04,133289.0,0.934,Assam
A324,55119,49.607,0.0,3556.33,55119.0,1.549,Assam
A325,135884,122.296,0.0,4651.34,135884.0,0.863,Assam
A326,60026,54.023,6.85,367.84,60026.0,0.059,Assam
A327,65716,59.144,4.01,376.78,65716.0,0.117,Assam
A328,122527,110.274,0.0,2802.92,122527.0,0.487,Assam
A329,89683,80.715,4.43,452.59,89683.0,0.125,Assam
A330,70048,63.043,0.01,4366.85,70048.0,0.192,Assam
A331,69620,62.658,5.71,454.7,69620.0,0.069,Assam
A332,69836,62.852,3.88,370.14,69836.0,0.042,Assam
A333,98803,88.923,6.44,354.76,98803.0,0.066,Assam
A334,78563,70.707,0.0,1649.22,78563.0,0.0,Assam
A335,189759,170.783,3.45,1479.92,189759.0,0.3,Assam
A336,140420,126.378,4.1,473.95,140420.0,0.086,Assam
A337,124868,112.381,3.38,447.47,124868.0,0.097,Assam
A338,181857,163.671,0.3,760.81,181857.0,0.147,Assam
A339,53983,48.585,0.0,1815.46,53983.0,0.001,Assam
A340,82128,73.915,0.0,2070.66,82128.0,0.275,Assam
A341,93797,84.417,4.72,443.47,93797.0,0.093,Assam
A342,58692,52.823,5.76,345.58,58692.0,0.097,Assam
A343,109299,98.369,3.64,661.42,109299.0,0.184,Assam
A344,57958,52.162,0.0,1862.83,57958.0,0.194,Assam
A345,50254,45.229,9.35,252.18,50254.0,0.007,Assam
A346,99357,89.421,0.0,3039.38,99357.0,0.729,Assam
A347,88074,79.267,5.62,478.14,88074.0,0.153,Assam
A348,187037,168.333,15.96,896.09,187037.0,0.216,Assam
A349,111686,100.517,0.0,2127.16,111686.0,0.387,Assam
A350,107378,96.64,0.01,2575.03,107378.0,0.605,Assam
A351,53486,48.137,13.74,316.09,53486.0,0.047,Assam
A352,147963,133.167,0.0,3364.43,147963.0,0.77,Assam
A353,80983,72.885,5.74,262.5,80983.0,0.014,Assam
A354,131675,118.508,3.66,575.19,131675.0,0.11,Assam
A355,69576,62.618,0.0,3100.55,69576.0,1.168,Assam
A356,73855,66.47,0.0,2067.35,73855.0,0.468,Assam
A357,118846,106.961,0.0,4342.35,118846.0,1.08,Assam
A358,128580,115.722,0.0,3659.14,128580.0,1.032,Assam
A359,239852,215.867,4.14,881.13,239852.0,0.156,Assam
A360,125226,112.703,5.27,553.24,125226.0,0.117,Assam
A361,59098,53.188,6.5,338.17,59098.0,0.066,Assam
A362,56052,50.447,3.98,372.09,56052.0,0.067,Assam
A363,154493,139.044,5.4,714.4,154493.0,0.191,Assam
A364,55867,50.28,2.18,423.36,55867.0,0.095,Assam
A365,55462,49.916,0.0,3459.15,55462.0,1.022,Assam
A366,143506,129.155,3.58,522.7,143506.0,0.125,Assam
A367,76101,68.491,5.45,310.59,76101.0,0.062,Assam
A368,103753,93.378,0.01,2824.49,103753.0,0.716,Assam
A369,66709,60.038,0.01,3276.18,66709.0,1.12,Assam
A370,65863,59.277,7.52,302.43,65863.0,0.053,Assam
A371,54041,48.637,0.0,2376.58,54041.0,0.749,Assam
A372,111627,100.464,0.0,3566.59,111627.0,0.99,Assam
A373,82331,74.098,5.95,489.7,82331.0,0.151,Assam
A374,180412,162.371,0.0,4909.89,180412.0,0.871,Assam
A375,66097,59.487,0.01,3445.34,66097.0,1.039,Assam
A376,53716,48.344,0.0,2828.52,53716.0,0.775,Assam
A377,189507,170.556,7.44,585.27,189507.0,0.127,Assam
A378,54274,48.847,6.61,312.54,54274.0,0.05,Assam
A379,58836,52.952,2.25,442.47,58836.0,0.052,Assam
A380,110665,99.598,0.0,4232.63,110665.0,1.18,Assam
A381,58118,52.306,0.0,2364.09,58118.0,0.748,Assam
A382,68952,62.057,0.0,1513.68,68952.0,0.196,Assam
A383,63146,56.831,0.0,1963.31,63146.0,0.568,Assam
A384,158313,142.482,6.25,515.3,158313.0,0.111,Assam
A385,56529,50.876,0.0,1904.17,56529.0,0.446,Assam
A386,51488,46.339,0.0,2089.65,51488.0,0.119,Assam
A387,116862,105.176,8.64,567.43,116862.0,0.14,Assam
A388,90601,81.541,8.71,431.01,90601.0,0.133,Assam
A389,77066,69.359,10.15,243.89,77066.0,0.041,Assam
A390,73337,66.003,0.0,1873.94,73337.0,0.398,Assam
A391,144840,130.356,0.01,4040.09,144840.0,0.909,Assam
A392,136908,123.217,9.89,615.6,136908.0,0.129,Assam
A393,211779,190.601,5.94,468.13,211779.0,0.052,Assam
A394,134623,121.161,21.8,625.72,134623.0,0.125,Assam
A395,72822,65.54,0.01,3047.94,72822.0,0.771,Assam
A396,81569,73.412,17.62,354.47,81569.0,0.06,Assam
A397,155206,139.685,0.0,2423.57,155206.0,0.353,Assam
A398,62344,56.11,0.0,1968.31,62344.0,0.011,Assam
A399,55826,50.243,5.82,283.39,55826.0,0.04,Assam
A400,96283,86.655,8.5,447.76,96283.0,0.107,Assam
A401,51963,46.767,0.01,2358.28,51963.0,0.002,Assam
A402,58701,52.831,13.09,320.67,58701.0,0.07,Assam
A403,72131,64.918,0.0,1976.26,72131.0,0.408,Assam
A404,69975,62.978,5.96,270.8,69975.0,0.02,Assam
A405,55107,49.596,0.01,2228.57,55107.0,0.472,Assam
A406,126707,114.036,8.36,450.65,126707.0,0.057,Assam
A407,143391,129.052,0.0,3418.91,143391.0,0.592,Assam
A408,60004,54.004,0.01,3633.36,60004.0,0.813,Assam
A409,57865,52.078,9.02,336.08,57865.0,0.073,Assam
A410,101038,90.934,0.95,912.18,101038.0,0.332,Assam
A411,84618,76.156,0.01,3098.25,84618.0,0.488,Assam
A412,74057,66.651,13.64,336.76,74057.0,0.084,Assam
A413,96409,86.768,0.0,2143.52,96409.0,0.281,Assam
A414,78979,71.081,0.01,6173.38,78979.0,2.087,Assam
A415,273416,246.074,5.13,862.47,273416.0,0.145,Assam
A416,64861,58.375,0.01,3869.74,64861.0,0.626,Assam
A417,76570,68.913,9.18,466.31,76570.0,0.118,Assam
A418,60717,54.645,0.0,2098.9,60717.0,0.002,Assam
A419,52354,47.119,18.37,268.04,52354.0,0.037,Assam
A420,73084,65.776,15.67,272.03,73084.0,0.038,Assam
A421,50460,45.414,19.22,245.53,50460.0,0.022,Assam
A422,141140,127.026,0.0,3458.49,141140.0,0.557,Assam
A423,68841,61.957,0.0,2010.18,68841.0,0.277,Assam
A424,84414,75.973,0.0,2163.94,84414.0,0.168,Assam
A425,60453,54.408,18.18,303.15,60453.0,0.083,Assam
A426,109968,98.971,9.49,523.2,109968.0,0.1,Assam
A427,58120,52.308,0.0,2103.46,58120.0,0.322,Assam
A428,99210,89.289,11.36,419.62,99210.0,0.112,Assam
A429,360571,324.514,0.0,5883.13,360571.0,0.677,Assam
A430,100402,90.362,25.74,507.92,100402.0,0.136,Assam
A431,75909,68.318,0.0,1071.63,75909.0,0.108,Assam
A432,128151,115.336,0.0,2791.22,128151.0,0.288,Assam
A433,154769,139.292,8.09,1259.56,154769.0,0.283,Assam
A434,442847,398.562,10.71,1171.07,442847.0,0.122,Assam
A435,129652,116.687,19.3,444.78,129652.0,0.091,Assam
A436,351276,316.148,9.9,690.2,351276.0,0.086,Assam
A437,71262,64.136,0.0,2929.7,71262.0,0.359,Assam
A438,54447,49.002,0.01,2942.54,54447.0,0.004,Assam
A439,58878,52.99,22.61,287.87,58878.0,0.037,Assam
A440,86563,77.907,0.0,1506.13,86563.0,0.598,Assam
A441,138412,124.571,0.0,1470.42,138412.0,0.121,Assam
A442,432857,389.571,0.0,9763.28,432857.0,0.998,Assam
A443,61045,54.94,13.48,206.93,61045.0,0.017,Assam
A444,124622,112.16,0.0,1102.56,124622.0,0.27,Assam
A445,95462,85.916,0.0,1855.44,95462.0,0.236,Assam
A446,70246,63.221,8.24,476.44,70246.0,0.102,Assam
A447,73074,65.767,30.05,451.58,73074.0,0.108,Assam
A448,53171,47.854,3.61,270.46,53171.0,0.034,Assam
A449,52225,47.002,0.0,1678.62,52225.0,0.001,Assam
A450,81234,73.111,0.0,1665.23,81234.0,0.092,Assam
A451,118803,106.923,0.01,2006.12,118803.0,0.129,Assam
A452,72586,65.327,0.01,2206.86,72586.0,0.235,Assam
A453,187248,168.523,23.44,732.29,187248.0,0.144,Assam
A454,56880,51.192,0.0,1995.39,56880.0,0.272,Assam
A455,82029,73.826,0.0,3318.07,82029.0,0.484,Assam
A456,71141,64.027,10.68,617.2,71141.0,0.06,Assam
A457,191671,172.504,26.59,802.09,191671.0,0.174,Assam
A458,82033,73.83,22.73,344.09,82033.0,0.099,Assam
A459,68727,61.854,23.72,330.19,68727.0,0.062,Assam
A460,53463,48.117,0.01,2468.37,53463.0,0.004,Assam
A461,50905,45.814,0.0,1634.85,50905.0,0.001,Assam
A462,622655,560.39,18.43,1916.69,622655.0,0.188,Assam
A463,56985,51.286,0.01,1647.87,56985.0,0.023,Assam
A464,205591,185.032,17.13,469.2,205591.0,0.074,Assam
A465,72292,65.063,17.14,478.88,72292.0,0.136,Assam
A466,153594,138.235,0.01,8042.37,153594.0,1.522,Assam
A467,54702,49.232,0.0,1692.62,54702.0,0.002,Assam
A468,147588,132.829,0.0,2234.49,147588.0,0.18,Assam
A469,145015,130.514,0.01,6198.86,145015.0,1.549,Assam
A470,66425,59.782,0.0,2074.95,66425.0,0.007,Assam
A471,213556,192.2,16.01,539.17,213556.0,0.088,Assam
A472,53694,48.325,0.0,1693.52,53694.0,0.014,Assam
A473,352462,317.216,0.0,5217.63,352462.0,0.629,Assam
A474,120663,108.597,22.67,426.07,120663.0,0.111,Assam
A475,50216,45.194,0.02,2576.23,50216.0,0.072,Assam
A476,122807,110.526,26.52,522.62,122807.0,0.133,Assam
A477,156086,140.477,0.0,1789.18,156086.0,0.031,Assam
A478,122148,109.933,0.0,4469.17,122148.0,0.86,Assam
A479,89263,80.337,0.0,2480.73,89263.0,0.019,Assam
A480,112080,100.872,27.86,555.56,112080.0,0.161,Assam
A481,71168,64.051,0.01,2610.81,71168.0,0.027,Assam
A482,102508,92.257,0.0,3008.71,102508.0,0.049,Assam
A483,54375,48.938,0.0,1712.35,54375.0,0.018,Assam
A484,472118,424.906,0.0,8022.03,472118.0,0.727,Assam
A485,72282,65.054,0.0,1367.93,72282.0,0.031,Assam
A486,84737,76.263,16.21,3683.32,84737.0,1.424,Assam
A487,92056,82.85,0.0,1712.72,92056.0,0.011,Assam
A488,244880,220.392,0.01,4048.75,244880.0,0.261,Assam
A489,82430,74.187,0.01,2019.98,82430.0,0.008,Assam
A490,50031,45.028,0.0,2645.7,50031.0,0.011,Assam
A491,58034,52.231,0.01,2747.0,58034.0,0.011,Assam
A492,114741,103.267,0.0,2580.47,114741.0,0.139,Assam
A493,53285,47.956,0.01,1463.29,53285.0,0.001,Assam
A494,74288,66.859,0.0,1823.1,74288.0,0.063,Assam
A495,67247,60.522,0.0,4800.57,67247.0,1.715,Assam
A496,58855,52.97,0.0,1826.31,58855.0,0.007,Assam
A497,54257,48.831,0.0,2566.71,54257.0,0.02,Assam
A498,80989,72.89,0.0,2160.06,80989.0,0.003,Assam
A499,175431,157.888,0.0,6286.32,175431.0,1.022,Assam
A500,115001,103.501,0.09,2456.83,115001.0,0.008,Assam
A501,52776,47.498,0.01,2427.06,52776.0,0.003,Assam
A502,50224,45.202,0.04,3589.5,50224.0,0.001,Assam
A504,71213,64.092,0.0,794003.1,15940273.0,1.664,Assam
A505,52841,47.557,0.02,9028.26,8105389.0,0.027,Assam
A506,5626,5.063,0.27,7818589.0,15628877.0,16.679,Assam
A507,29686,26.717,0.02,36922.45,9374540.0,0.126,Assam
A508,31176,28.058,0.02,919202.56,8217554.0,3.73,Assam
A509,60620,54.558,0.02,9428.83,168162.0,1.878,Assam
A510,43154,38.839,0.0,50369.48,765932.94,2.135,Assam
A511,95403,85.863,0.01,9907.63,237978.0,1.219,Assam
A512,69767,62.79,0.01,88934.45,1870571.0,1.549,Assam
A513,41062,36.956,0.02,289301.72,3442828.2,2.817,Assam
A515,10853,9.768,0.03,16055.24,4620297.0,0.104,Assam
A516,12637,11.373,0.0,18719.29,123453.0,5.188,Assam
A518,41394,37.255,0.0,3634.64,4035856.0,0.023,Assam
A519,268892,242.003,0.01,18005.63,721519.06,0.892,Assam
A520,39188,35.269,0.02,21126.01,221592.0,3.009,Assam
A521,161789,145.61,0.0,10375.11,303647.0,1.357,Assam
A522,54545,49.09,0.01,39964.65,663924.0,2.099,Assam
A523,58904,53.014,0.01,551230.6,4733576.0,3.885,Assam
A525,31177,28.059,0.02,2464.81,210869.0,0.132,Assam
A526,67140,60.426,19.91,2202.77,261253.0,0.305,Assam
A527,146083,131.475,0.0,76976.78,1887441.0,1.395,Assam
A528,55652,50.087,0.0,3317.92,802463.06,0.081,Assam
A529,271060,243.954,0.0,11674.69,607558.0,0.836,Assam
A530,7368,6.631,34.22,7222.38,317423.0,0.765,Assam
A531,20356,18.32,0.01,446418.1,2648170.0,5.622,Assam
A532,205177,184.659,12.98,1703.17,394567.0,0.179,Assam
A533,20270,18.243,0.01,221736.42,1320547.0,5.583,Assam
A534,92424,83.182,0.01,13370.29,394472.0,1.121,Assam
A535,193364,174.028,13.38,2541.16,467965.0,0.211,Assam
A536,248291,223.462,0.01,27584.96,960615.06,0.994,Assam
A537,53274,47.947,0.0,143451.5,3552883.0,1.347,Assam
A538,33351,30.016,0.01,23973.06,299785.0,2.737,Assam
A539,270016,243.014,0.01,22371.2,889400.0,0.896,Assam
A540,70737,63.663,0.0,155406.86,3172988.2,1.632,Assam
A541,55891,50.302,19.28,12108.72,1871788.0,0.217,Assam
A542,6050,5.445,0.03,197670.62,430015.0,15.438,Assam
A543,14251,12.826,0.84,14932.39,746204.94,0.674,Assam
A544,76344,68.71,0.01,5696.7,894088.0,0.168,Assam
A545,117458,105.712,0.0,16209.55,892440.0,0.579,Assam
A546,405120,364.608,5.8,4067.34,898896.94,0.181,Assam
A547,115138,103.624,17.79,1766.78,435269.0,0.146,Assam
A548,68034,61.231,16.3,2889.06,360107.0,0.287,Assam
A549,23082,20.774,3.72,26623.32,711410.0,1.256,Assam
A550,84721,76.249,0.01,120161.94,2882364.2,1.376,Assam
A552,6942,6.248,0.0,237261.1,512385.0,15.533,Assam
A553,10697,9.627,0.01,29086.56,364175.0,2.695,Assam
A554,179801,161.821,0.0,16687.43,564682.0,1.077,Assam
A556,269271,242.344,7.0,1951.59,595858.0,0.129,Assam
A557,486995,438.296,19.01,4081.94,1041452.0,0.173,Assam
A558,40190,36.171,5.55,3362.5,656481.0,0.169,Assam
A559,181740,163.566,0.0,98883.6,2562522.0,1.302,Assam
A560,49418,44.476,0.3,5333.43,275078.0,0.689,Assam
A561,102938,92.644,4.76,5649.29,631356.0,0.318,Assam
A562,70747,63.672,0.0,5657.67,1013147.06,0.145,Assam
A563,116874,105.187,0.01,13696.05,309002.0,1.618,Assam
A564,170522,153.47,1.26,12881.92,968495.06,0.473,Assam
A565,18915,17.024,10.82,7022.28,504644.0,0.469,Assam
A566,149952,134.957,0.01,59559.5,1677912.0,1.213,Assam
A567,336954,303.259,0.0,84947.75,2867834.0,1.02,Assam
A568,184754,166.279,7.24,1887.91,593895.0,0.111,Assam
A569,12430,11.187,10.12,2141.75,215166.0,0.338,Assam
A570,67902,61.112,3.99,3458.14,565023.0,0.214,Assam
A571,65065,58.558,1.86,25510.82,617187.0,1.428,Assam
A572,42358,38.122,0.01,199202.05,2459618.0,2.703,Assam
A573,79831,71.848,0.0,6206.15,240154.0,0.54,Assam
A574,10150,9.135,7.59,6418.18,428958.0,0.502,Assam
A575,149897,134.907,0.0,32273.76,1111289.0,1.018,Assam
A576,54160,48.744,3.18,9904.95,1018920.0,0.33,Assam
A577,104424,93.982,0.01,13473.28,234675.0,2.06,Assam
A578,46671,42.004,8.11,1226.13,233209.0,0.168,Assam
A579,75063,67.557,0.43,10456.9,802702.0,0.453,Assam
A580,82278,74.05,0.0,13267.4,429810.0,0.988,Assam
A581,147248,132.523,0.01,19387.62,645899.0,1.026,Assam
A582,19906,17.915,0.03,36342.16,215087.0,5.893,Assam
A583,98105,88.294,8.38,5157.59,676806.0,0.265,Assam
A584,59191,53.272,14.85,3275.78,326711.0,0.36,Assam
A585,73865,66.478,11.69,1953.47,477642.0,0.138,Assam
A586,107438,96.694,0.0,143529.81,2715614.0,1.781,Assam
A587,20201,18.181,1.18,15226.98,397353.0,1.295,Assam
A588,17579,15.821,0.03,8048.3,4816016.0,0.044,Assam
A589,120020,108.018,0.0,69241.38,2086440.0,1.103,Assam
A590,42208,37.987,0.0,88345.56,2239816.0,1.314,Assam
A591,63404,57.064,7.98,22468.44,1217852.0,0.62,Assam
A592,220766,198.689,0.0,39181.26,1548155.0,0.882,Assam
A593,19253,17.328,0.01,9792.72,546045.0,0.608,Assam
A594,237890,214.101,2.52,5101.7,1043564.0,0.177,Assam
A595,129955,116.96,0.22,4607.12,15818836.0,0.003,Assam
A596,48434,43.591,0.0,11726.28,248354.0,1.726,Assam
A597,8145,7.33,12.77,18894.51,251714.0,2.533,Assam
A598,54378,48.94,0.01,354913.03,5553600.0,2.133,Assam
A599,18142,16.328,3.94,1598.49,143943.0,0.369,Assam
A600,40175,36.158,0.0,60481.64,1242771.0,1.628,Assam
A601,85413,76.872,11.13,2703.77,595940.0,0.149,Assam
A602,158727,142.854,0.02,77612.96,1534815.0,1.732,Assam
A604,118629,106.766,11.44,14094.54,1743605.0,0.279,Assam
A605,35357,31.821,0.01,400695.25,4133557.0,3.246,Assam
A606,14089,12.68,0.02,96601.53,384382.0,8.378,Assam
A607,90190,81.171,3.03,6050.37,776731.06,0.266,Assam
A608,10506,9.455,0.03,9754.02,3526156.2,0.076,Assam
A609,159723,143.751,25.13,3039.97,481383.0,0.249,Assam
A610,10758,9.682,0.26,26589.66,2106036.0,0.421,Assam
A611,127014,114.313,2.36,2461.49,322758.0,0.308,Assam
A612,160625,144.562,0.0,54807.19,1473513.0,1.263,Assam
A613,268598,241.738,0.01,39656.98,1453224.0,0.96,Assam
A614,14502,13.052,3.96,22163.89,1314685.0,0.563,Assam
A615,83567,75.21,1.52,12136.86,1606503.0,0.256,Assam
A616,81140,73.026,0.01,53966.85,2101199.0,0.857,Assam
A617,220036,198.032,0.0,19656.3,698786.0,1.05,Assam
A618,30450,27.405,2.8,10358.44,753786.0,0.463,Assam
A619,18644,16.78,0.0,202510.1,1968571.0,3.431,Assam
A620,54389,48.95,0.0,139126.83,3042428.2,1.514,Assam
A621,21902,19.712,0.02,220115.16,1445232.0,5.108,Assam
A622,105880,95.292,0.0,19579.33,1764700.0,0.36,Assam
A623,23016,20.714,1.13,18623.84,1660459.0,0.375,Assam
A624,52481,47.233,4.48,5586.05,887250.0,0.213,Assam
A626,107540,96.786,0.01,18234.04,482639.0,1.385,Assam
A627,128558,115.702,0.0,111585.02,2289109.0,1.639,Assam
A628,131092,117.983,0.01,40486.44,838420.94,1.719,Assam
A629,46962,42.266,4.05,13253.94,1861913.9,0.238,Assam
A630,196016,176.414,0.0,65383.74,2547459.0,0.878,Assam
A631,37818,34.036,0.03,52578.06,528653.0,3.255,Assam
A632,7749,6.974,0.42,37043.97,1913919.0,0.645,Assam
A633,197395,177.656,0.0,12241.01,664102.0,0.578,Assam
A634,526798,474.118,0.0,23905.02,1157573.0,0.825,Assam
A635,67307,60.576,3.15,954.55,202506.0,0.172,Assam
A636,38998,35.098,1.46,2334.54,433142.0,0.182,Assam
A637,87449,78.704,0.01,17943.95,271491.0,2.35,Assam
A639,52590,47.331,2.7,106962.05,6972611.0,0.513,Assam
A641,148329,133.496,3.53,13754.27,2099208.0,0.224,Assam
A642,16644,14.98,2.36,30923.31,1748373.0,0.591,Assam
A643,20858,18.772,0.29,13013.12,693852.0,0.633,Assam
A644,12355,11.12,0.0,8879.39,366980.0,0.82,Assam
A645,26358,23.722,0.0,50091.4,399998.0,4.291,Assam
A646,24174,21.757,0.01,97198.12,766839.06,4.284,Assam
A647,40357,36.321,0.02,174140.7,3749582.0,1.54,Assam
A648,170799,153.719,1.06,28062.21,2458692.0,0.392,Assam
A649,191421,172.279,1.04,16837.76,2199137.0,0.264,Assam
A651,8331,7.498,11.35,4304.79,524398.0,0.272,Assam
A652,70938,63.844,0.04,80144.6,6585153.5,0.398,Assam
A653,122030,109.827,0.0,17799.31,527022.0,1.232,Assam
A654,34223,30.801,11.04,33831.66,1600073.0,0.71,Assam
A655,15949,14.354,3.37,50275.84,4824181.0,0.347,Assam
A656,368590,331.731,0.02,110377.91,4020830.0,0.939,Assam
A657,17533,15.78,8.37,5634.04,462581.0,0.411,Assam
A658,117685,105.916,0.01,36701.42,1168048.0,1.073,Assam
A660,311226,280.103,11.02,32153.24,1145498.0,1.001,Assam
A661,59919,53.927,1.06,10359.57,2383924.0,0.144,Assam
A662,107442,96.698,0.01,56122.02,9784600.0,0.189,Assam
A663,223080,200.772,0.01,21512.09,1042996.0,0.664,Assam
A664,239516,215.564,0.98,327843.66,52829490.0,0.207,Assam
A665,24383,21.945,0.29,834526.75,50131276.0,0.555,Assam
A668,23199,20.879,0.02,123874.92,992404.94,4.187,Assam
A669,48405,43.564,1.88,2847.1,300884.0,0.33,Assam
A670,5801,5.221,3.06,111860.17,2370523.0,1.574,Assam
A671,62002,55.802,5.15,3759.46,315464.0,0.422,Assam
A672,8408,7.567,0.0,1524.45,137261.0,0.032,Assam
A673,47326,42.593,0.0,18599.28,293306.0,2.273,Assam
A675,10624,9.562,10.06,2995.16,183842.0,0.543,Assam
A676,159173,143.256,0.01,10725.36,505926.0,0.69,Assam
A677,21759,19.583,0.02,180333.8,1365212.0,4.44,Assam
A678,141583,127.425,0.01,162751.5,3354594.0,1.633,Assam
A679,27966,25.169,1.22,3278.14,230112.0,0.493,Assam
A680,25624,23.062,0.04,397112.2,2948657.0,4.51,Assam
A681,10951,9.856,0.04,334307.88,1082751.0,10.346,Assam
A682,57116,51.404,5.52,3216.75,394794.0,0.281,Assam
A683,57275,51.548,2.57,32234.2,1972812.0,0.55,Assam
A684,21190,19.071,2.3,44504.01,2294886.0,0.648,Assam
A685,23337,21.003,2.53,1361.81,154382.0,0.291,Assam
A686,89339,80.405,1.66,63304.36,7195736.5,0.294,Assam
A687,136923,123.231,0.01,52243.22,891324.94,2.058,Assam
A689,22520,20.268,2.02,72506.81,2617057.0,0.927,Assam
A691,141997,127.797,0.38,297309.28,47528852.0,0.209,Assam
A692,46898,42.208,0.01,84463.74,624663.0,4.632,Assam
A693,91161,82.045,0.02,99279.97,947815.06,3.638,Assam
A695,186227,167.604,0.02,67731.74,1883185.0,1.24,Assam
A696,5736,5.162,0.0,130347.54,1288334.0,3.353,Assam
A697,6145,5.53,0.0,3179.33,3233603.8,0.022,Assam
A698,78083,70.275,0.01,66850.71,1500725.0,1.481,Assam
A699,24203,21.783,0.01,768496.2,7639804.0,3.355,Assam
A700,209104,188.194,0.01,71110.29,2140162.0,1.129,Assam
A701,11021,9.919,0.04,486201.53,1886781.0,8.614,Assam
A703,43151,38.836,0.01,58199.6,1324125.0,1.458,Assam
A704,34774,31.297,0.01,450822.62,5444115.0,2.767,Assam
A705,9498,8.548,0.0,598029.7,7541952.0,2.643,Assam
A706,281660,253.494,0.03,179885.77,8580395.0,0.705,Assam
A707,68556,61.7,0.01,5934.82,4946508.0,0.026,Assam
A708,308777,277.899,0.01,264971.0,7999772.0,1.116,Assam
A709,13895,12.506,0.01,2402381.5,9595030.0,8.346,Assam
A710,48256,43.43,0.0,153477.4,2197623.0,2.353,Assam
A711,47698,42.928,0.05,459230.28,8849685.0,1.728,Assam
A712,131181,118.063,0.01,84077.79,3079722.0,0.91,Assam
A713,25183,22.665,0.02,321566.16,2285320.0,4.713,Assam
A714,274919,247.427,0.0,61402.85,2577598.0,0.831,Assam
A715,308251,277.426,0.02,205126.6,5430499.0,1.282,Assam
A716,71650,64.485,0.08,336546.97,12942164.0,0.865,Assam
A717,106107,95.496,0.01,92724.25,2819825.0,1.085,Assam
A718,117955,106.16,0.02,254163.62,4431016.0,1.917,Assam
A719,696496,626.846,0.01,241845.81,9169423.0,0.899,Assam
A720,104376,93.938,0.06,1040050.75,25914590.0,1.34,Assam
A721,24812,22.331,0.01,420129.8,16025614.0,0.875,Assam
A722,10947,9.852,0.04,24104.92,1622351.0,0.463,Assam
A724,80969,72.872,1.48,613343.3,52985076.0,0.386,Assam
A725,74690,67.221,0.21,917044.75,80604820.0,0.379,Assam
A726,31279,28.151,0.32,756548.75,53306320.0,0.473,Assam
A728,51362,46.226,0.0,39653.18,419621.0,3.297,Assam
A729,30519,27.467,0.0,2070.13,604881.0,0.023,Assam
A730,58455,52.61,0.0,732956.56,12296032.0,1.991,Assam
A731,51335,46.202,0.0,8403.34,314713.0,0.89,Assam
A733,80982,72.884,0.24,811998.9,81805624.0,0.331,Assam
A734,20568,18.511,0.0,59440.41,1148772.0,1.736,Assam
A735,18469,16.622,0.0,176072.0,904651.06,6.476,Assam
A736,7033,6.33,0.04,2976782.8,5942715.0,16.707,Assam
A737,50169,45.152,0.04,19114.4,241833.0,2.62,Assam
A738,49079,44.171,0.0,16847.16,341963.0,1.713,Assam
A739,171541,154.387,0.01,20548.32,537249.0,1.392,Assam
A740,82940,74.646,0.01,15327.24,235328.0,2.584,Assam
A741,11290,10.161,0.03,50092.22,193888.0,8.854,Assam
A743,11009,9.908,0.02,10706.38,697776.94,0.439,Assam
A744,247872,223.085,0.0,13574.7,397171.0,1.171,Assam
A746,321727,289.554,0.0,68703.9,2056947.0,1.135,Assam
A747,184544,166.09,0.0,9955.89,349319.0,1.223,Assam
A748,26208,23.587,0.55,743806.2,54615536.0,0.454,Assam
A749,39695,35.726,0.0,2320.7,481357.0,0.047,Assam
A750,7074,6.367,0.07,170216.22,345666.0,16.582,Assam
A751,84609,76.148,0.01,12080.46,244721.0,1.877,Assam
A752,34690,31.221,0.0,2949.68,430563.0,0.095,Assam
A753,102116,91.904,0.01,812421.44,12043452.0,2.254,Assam
A754,18773,16.896,0.0,12682.24,438874.0,0.964,Assam
A755,130946,117.851,0.0,32020.71,1245328.0,0.842,Assam
A756,19701,17.731,0.0,952670.75,9110069.0,3.489,Assam
A757,31493,28.344,0.01,55627.65,511133.0,3.715,Assam
A758,17801,16.021,0.0,484472.47,2541464.0,6.374,Assam
